id,station_id,city_slug,district_slug,address_en,title,provider,external_id,sensor_type,latitude,longitude,altitude,first_measurement_time,last_measurement_time,is_suspicious
281,90,yerevan,davtashen,"Anastas Mikoyan Street, 107/4","Yeghvard Hwy",clarity,DMPCV1759,CLARITY,40.224853,44.506273,,"2024-08-06 16:00:00","2025-09-16 12:00:00",false
282,66,yerevan,davtashen,"Pirumyanneri street, 7/6"," Pirumyanshin",clarity,DNLGJ0451,CLARITY,40.220032,44.496169,,"2024-10-15 11:00:00","2025-09-16 12:00:00",false
283,92,yerevan,davtashen,"4th quarter Davtashen, 46/12",Pavilion,clarity,DXUYC8213,CLARITY,40.227693,44.503210,,"2024-10-02 10:00:00","2025-09-16 12:00:00",false
284,92,yerevan,davtashen,"4th quarter Davtashen, 46/12",Pavilion,clarity,DYPCQ7947,CLARITY,40.228586,44.504157,,"2024-10-02 10:00:00","2025-09-16 12:00:00",false
285,91,yerevan,davtashen,"Tigran Petrosyan Street, 81/4","Crowd effort development",clarity,DZNGH2624,CLARITY,40.227134,44.498699,,"2024-09-25 10:00:00","2025-09-16 12:00:00",false
286,79,yerevan,kentron,"Verin Antarayin Street, 144","Park residence",clarity,DZUYW6771,CLARITY,40.195330,44.512448,,"2024-08-06 15:00:00","2025-09-16 12:00:00",false
287,101,hrazdan,,"7-th st.","Раздан (ArmAQI.org)",sensor_community,91030,SDS011,40.552000,44.758000,1713.10,"2025-01-06 11:00:00","2025-05-02 21:27:13",false
288,102,yerevan,kentron,"Tairov street",Yerevan,purple_air,255131,PURPLE_AIR,40.172375,44.496975,,"2025-01-09 23:00:00","2025-02-11 11:00:42",false
289,100,yerevan,nor-nork,"Ashot Hovhannisyan street, 21","ք. Երևան, Աշոտ Հովհաննիսյան 21 ",yerevan_gis,DQYBQ6469,CLARITY_NODE,40.193365,44.574050,,"2025-01-10 12:00:00","2025-09-15 19:00:00",false
290,13,gyumri,,"Hovhannes Shiraz Street","Hovhannes Shiraz 1st backstreet (ArmAqi.org)",sensor_community,85810,BME280,40.788000,43.842000,1526.90,"2025-01-13 16:00:00","2025-09-16 12:12:28",false
291,20,gyumri,,"Aghasi Khanjyan Street","Khanjyan street (ArmAqi.org)",sensor_community,89709,BME280,40.806000,43.854000,1563.00,"2025-01-13 16:00:00","2025-03-30 11:37:00",false
292,101,hrazdan,,"7-th st.","Раздан (ArmAQI.org)",sensor_community,91031,BME280,40.552000,44.758000,1713.10,"2025-01-13 15:00:00","2025-04-18 15:56:40",false
293,15,vanadzor,,"Nersisyan Lane","Nersisyan lane (ArmAqi.org)",sensor_community,86293,BME280,40.797236,44.512433,1382.00,"2025-01-14 14:00:00","2025-09-16 12:13:56",false
294,104,yerevan,nor-nork,"Djuhai street","Djuhai street (ArmAqi.org)",sensor_community,82952,SDS011,40.196000,44.560000,1283.10,"2025-01-14 23:00:00","2025-01-19 01:40:08",true
295,104,yerevan,nor-nork,"Djuhai street","Djuhai street (ArmAqi.org)",sensor_community,82953,BME280,40.196000,44.560000,1283.10,"2025-01-14 23:00:00","2025-01-19 01:40:10",true
296,103,yerevan,kentron,"Residential Complex Horizon (Dalma)","ք. Երևան, Վերֆելի 40/2",yerevan_gis,DAUEZ7315,CLARITY_NODE,40.177902,44.488740,,"2025-01-16 17:00:00","2025-09-15 19:00:00",false
297,103,yerevan,kentron,"Residential Complex Horizon (Dalma)","ք. Երևան, Վերֆելի 40/2",yerevan_gis,DLJLI0227,CLARITY_NODE,40.177805,44.489150,,"2025-01-16 17:00:00","2025-09-15 19:00:00",false
298,110,yerevan,nor-nork,"Shopron street","Yerevan, V. Sargsyan",climate_net,8,climatenet-v1,40.185285,44.560020,,"2023-11-16 21:00:00","2025-09-16 12:15:00",false
299,182,maralik,,"Tumo Labs","Shirak, Maralik",climate_net,1,climatenet-v1,40.580711,43.869261,,"2024-03-07 15:00:00","2025-09-16 12:15:00",false
300,181,panik,,"Tumo Labs","Shirak, Panik",climate_net,2,climatenet-v1,40.659164,43.971953,,"2024-03-06 15:00:00","2025-09-16 12:15:00",false
301,126,azatan,,"Tumo Station","Shirak, Azatan",climate_net,3,climatenet-v1,40.724777,43.829406,,"2024-03-07 13:00:00","2025-09-16 12:15:00",false
302,125,artik,,"Tumo Station","Shirak, Artik",climate_net,4,climatenet-v1,40.625502,43.957910,,"2024-03-06 13:00:00","2025-09-16 12:15:00",false
303,124,sevan,,"Tumo Station","Gegharkunik, Sevan",climate_net,9,climatenet-v1,40.542608,44.957909,,"2024-06-18 12:00:00","2025-09-16 12:15:00",false
304,190,gavar,,"Tumo Labs","Gegharkunik, Gavar",climate_net,6,climatenet-v1,40.345572,45.125700,,"2024-06-18 16:00:00","2025-09-08 23:45:00",false
305,187,ashotsk,,"Tumo Labs","Shirak, Ashotsk",climate_net,5,climatenet-v1,41.038679,43.857348,,"2024-06-20 14:00:00","2025-09-16 12:15:00",false
